Zeilenbeschriftungen;Min. von Flight time;Min. von Energy Emmission;Min. von Noise;Mittelwert von Flight time;Mittelwert von Energy Emmission;Mittelwert von Noise;Standardabweichung (Grundgesamtheit) von Flight time;Standardabweichung (Grundgesamtheit) von Energy Emmission;Standardabweichung (Grundgesamtheit) von Noise
1;252,3866111;13,37384893;3,816303814;265,8531643;21,36648193;3,982578919;10,02868274;7,381717175;0,160033724
2;234,3566395;13,37384893;3,816303814;258,7224278;21,33941011;3,988822906;14,12039913;6,597842002;0,160872222
3;225,4624044;12,81018933;3,816303814;260,1348266;22,00528527;3,954021026;17,30095784;8,010106656;0,138862936
4;211,4527817;12,81018933;3,678627075;252,5250446;20,78181173;3,996223016;21,82832526;7,994117675;0,175228347
5;211,4527817;9,901225019;3,647188835;247,7140934;17,79507169;4,001137249;18,26510134;5,72230193;0,208895476
6;211,4527817;9,901225019;3,647188835;238,5886099;15,78586483;4,115524026;15,24541754;5,223064787;0,21645946
7;211,4527817;9,901225019;3,647188835;230,0683429;14,84170814;4,14259258;18,88612521;4,884415721;0,252548012
8;211,4527817;5,973280557;3,647188835;230,9787924;13,74199411;4,125464869;18,3280641;5,347465427;0,252817874
9;211,4527817;5,385714718;3,647188835;232,1358068;13,4194412;4,116132791;16,57290498;5,108855901;0,230600117
10;211,4527817;5,385714718;3,613410204;230,4001531;12,67334777;4,115203366;15,32383303;3,719239718;0,231853854
11;211,4527817;5,385714718;3,540919268;228,818858;11,91798596;4,077869983;14,46261925;3,385632648;0,22429426
12;211,4527817;5,385714718;3,540919268;229,1623744;12,73611625;4,034342929;15,6390531;4,259830393;0,274016773
13;211,4527817;5,385714718;3,540919268;229,5482536;12,02947513;4,023984915;15,03599592;4,49868982;0,277207577
14;211,4527817;5,385714718;3,540919268;229,5500934;12,22294916;4,016737091;14,74028833;4,293425407;0,273107664
15;211,4527817;5,385714718;3,513700572;228,0525129;10,75397418;4,04477637;12,02438525;3,438692499;0,239538565
16;211,4527817;5,385714718;3,513700572;229,1447017;10,80456579;4,018099719;11,19453199;3,323853233;0,249370046
Gesamtergebnis;211,4527817;5,385714718;3,513700572;235,5346717;14,26241696;4,052831958;18,93915913;6,112722381;0,240992138
;;;;;;;;;
Normalised values;;;;;;;;;
Iteration;Min. Flight time;Min. Energy Emmission;Min. Noise;Avg. Flight time;Avg. Energy Emmission;Avg. Noise;;;
1;1;1;1;1;0,943224097;0,151443274;;;
2;0,559533719;1;1;0,811359426;0,940817994;0,184555304;;;
3;0,342250477;0,92943789;1;0,848723831;1;0;;;
4;0;0,92943789;0,545025564;0,647410317;0,891259469;0,223798286;;;
5;0;0,56527722;0,441132958;0,520138667;0,625802402;0,249858592;;;
6;0;0,56527722;0,441132958;0,278727922;0,447227048;0,856454737;;;
7;0;0,56527722;0,441132958;0,053327917;0,363311789;1;;;
8;0;0,073554828;0,441132958;0,077413466;0,265570822;0,90917129;;;
9;0;0;0,441132958;0,108021784;0,236902792;0,859683029;;;
10;0;0;0,32950616;0,062105812;0,170591105;0,854754268;;;
11;0;0;0,089948463;0,02027333;0,103455656;0,656774336;;;
12;0;0;0,089948463;0,029360909;0,176169875;0,425949204;;;
13;0;0;0,089948463;0,039569176;0,113364651;0,371020377;;;
14;0;0;0,089948463;0,039617849;0,130560338;0,332584972;;;
15;0;0;0;0;0;0,481278022;;;
16;0;0;0;0,028893385;0,004496508;0,339811027;;;
