11/01/2020 21:43;351;2020-01-11_20_43_29;INFO;rs;1522643136;__main__;population_size;12;x_y_limits;150;z_sigma;5;sample_point_distance;200 Meters;selection_pressure;0.2;pc;0.9;pm;0.5;aimed_point_factor;2;n_crossover;7;mutation_max_disturbance_distance;60;mutation_group_size;4;percentage_inserted_and_deleted;0.25;percentage_disturbed;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/01/2020 21:54;197;2020-01-11_20_43_29;INFO;0;threedpoints_1578775269__0;3.924.485.752.193.670;threedpoints_1578774927__0;14.193.453.287.694.300;threedpoints_1578775198;6.610.911.816.002.060;5.935.330.995.795.500;[['threedpoints_1578774997'; [39.32948973003889;19.991.172.713.541.500; 7.469923349863623]]; ['threedpoints_1578775132'; [43.20168963374887;22.126.284.664.833.500; 7.43405197505865]]; ['threedpoints_1578775198'; [55.38541336725678;32.824.415.606.895.700; 6.610911816002069]]; ['threedpoints_1578774927__0'; [39.66328023975993;14.193.453.287.694.300; 7.573205954358046]]; ['threedpoints_1578775062__0'; [43.33206124377101;18.372.415.777.298.000; 7.4358188001926635]]; ['threedpoints_1578775132__0'; [41.84916129684077;2.246.145.261.187.940; 6.874713872926931]]; ['threedpoints_1578775269__0'; [39.24485752193674;15.734.834.755.883.200; 8.289985830336656]]];;;;;;;;;;;;;;;;;;;;
11/01/2020 22:07;395;2020-01-11_20_43_29;INFO;1;threedpoints_1578775132__1;3.881.583.853.825.350;threedpoints_1578774927__0;14.193.453.287.694.300;threedpoints_1578775132__1;6.485.660.770.903.880;0.4523427503760544;[['threedpoints_1578774927__0'; [39.66328023975993;14.193.453.287.694.300; 7.573205954358046]]; ['threedpoints_1578775132__1'; [38.81583853825352;144.726.372.846.754; 6.485660770903882]]];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/01/2020 22:21;582;2020-01-11_20_43_29;INFO;2;threedpoints_1578775132__2;37.236.397.956.651.500;threedpoints_1578775062__2;1.364.102.277.108.030;threedpoints_1578775132__1;6.485.660.770.903.880;0.7661772565149221;[['threedpoints_1578775132__1'; [38.81583853825352;144.726.372.846.754; 6.485660770903882]]; ['threedpoints_1578775132__2'; [37.236397956651594;166.876.949.191.402; 8.148245309572983]]; ['threedpoints_1578775062__2'; [37.84652636816214;1.364.102.277.108.030; 7.353899612937114]]];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/01/2020 22:35;331;2020-01-11_20_43_29;INFO;3;threedpoints_1578775132__3;3.709.643.572.667.100;threedpoints_1578775062__2;1.364.102.277.108.030;threedpoints_1578775198__3;629.821.433.979.201;0.9450012218626789;[['threedpoints_1578775132__1'; [38.81583853825352;144.726.372.846.754; 6.485660770903882]]; ['threedpoints_1578775062__2'; [37.84652636816214;1.364.102.277.108.030; 7.353899612937114]]; ['threedpoints_1578775062__3'; [37.09670971241389;16.287.015.672.972.400; 8.142468764679492]]; ['threedpoints_1578775132__3'; [37.09643572667105;16.285.005.808.239.400; 8.144551707779486]]; ['threedpoints_1578774927__3'; [38.25372391127126;14.188.275.736.317.300; 7.181153189033057]]; ['threedpoints_1578775198__3'; [43.213342029338904;26.031.248.928.588.000; 6.29821433979201]]];;;;;;;;;;;;;;;;;;;;;;;;
11/01/2020 22:50;348;2020-01-11_20_43_29;INFO;4;threedpoints_1578775132__4;3.669.689.854.984.990;threedpoints_1578775062__2;1.364.102.277.108.030;threedpoints_1578775198__3;629.821.433.979.201;0.1790089330979825;[['threedpoints_1578775132__1'; [38.81583853825352;144.726.372.846.754; 6.485660770903882]]; ['threedpoints_1578775062__2'; [37.84652636816214;1.364.102.277.108.030; 7.353899612937114]]; ['threedpoints_1578775062__3'; [37.09670971241389;16.287.015.672.972.400; 8.142468764679492]]; ['threedpoints_1578775132__3'; [37.09643572667105;16.285.005.808.239.400; 8.144551707779486]]; ['threedpoints_1578774927__3'; [38.25372391127126;14.188.275.736.317.300; 7.181153189033057]]; ['threedpoints_1578775198__3'; [43.213342029338904;26.031.248.928.588.000; 6.29821433979201]]; ['threedpoints_1578775132__4'; [36.69689854984994;16.734.361.849.509.000; 7.621121715972457]]; ['threedpoints_1578775062__4'; [37.85920224276351;15.332.200.917.433.600; 7.246512013191974]]; ['threedpoints_1578775198__4'; [37.09643572667105;16.285.005.808.239.400; 8.144551707779486]]; ['threedpoints_1578775269__4'; [37.46626385196193;15.812.382.715.294.100; 7.39521852755776]]; ['threedpoints_1578775062__4'; [37.81485123749407;14.313.043.009.351.800; 7.543551982831618]]; ['threedpoints_1578775132__4'; [37.35246065489769;16.544.477.501.556.200; 7.385041847933442]]]
11/01/2020 23:06;622;2020-01-11_20_43_29;INFO;5;threedpoints_1578775132__4;3.669.689.854.984.990;threedpoints_1578775062__2;1.364.102.277.108.030;threedpoints_1578775198__3;629.821.433.979.201;0.6727264915337159;[['threedpoints_1578775132__1'; [38.81583853825352;144.726.372.846.754; 6.485660770903882]]; ['threedpoints_1578775062__2'; [37.84652636816214;1.364.102.277.108.030; 7.353899612937114]]; ['threedpoints_1578775062__3'; [37.09670971241389;16.287.015.672.972.400; 8.142468764679492]]; ['threedpoints_1578774927__3'; [38.25372391127126;14.188.275.736.317.300; 7.181153189033057]]; ['threedpoints_1578775198__3'; [43.213342029338904;26.031.248.928.588.000; 6.29821433979201]]; ['threedpoints_1578775132__4'; [36.69689854984994;16.734.361.849.509.000; 7.621121715972457]]; ['threedpoints_1578775198__4'; [37.09643572667105;16.285.005.808.239.400; 8.144551707779486]]; ['threedpoints_1578775269__4'; [37.46626385196193;15.812.382.715.294.100; 7.39521852755776]]; ['threedpoints_1578775062__4'; [37.81485123749407;14.313.043.009.351.800; 7.543551982831618]]; ['threedpoints_1578775132__4'; [37.35246065489769;16.544.477.501.556.200; 7.385041847933442]]; ['threedpoints_1578775132__5'; [37.826058603586496;15.172.212.044.800.300; 6.763300441034212]]; ['threedpoints_1578775198__5'; [37.051529512342114;16.522.765.197.257.000; 7.393557490333544]]]
11/01/2020 23:23;20;2020-01-11_20_43_29;INFO;6;threedpoints_1578775132__4;3.669.689.854.984.990;threedpoints_1578775062__2;1.364.102.277.108.030;threedpoints_1578775198__3;629.821.433.979.201;0.6191450290244447;[['threedpoints_1578775132__1'; [38.81583853825352;144.726.372.846.754; 6.485660770903882]]; ['threedpoints_1578775062__2'; [37.84652636816214;1.364.102.277.108.030; 7.353899612937114]]; ['threedpoints_1578774927__3'; [38.25372391127126;14.188.275.736.317.300; 7.181153189033057]]; ['threedpoints_1578775198__3'; [43.213342029338904;26.031.248.928.588.000; 6.29821433979201]]; ['threedpoints_1578775132__4'; [36.69689854984994;16.734.361.849.509.000; 7.621121715972457]]; ['threedpoints_1578775198__4'; [37.09643572667105;16.285.005.808.239.400; 8.144551707779486]]; ['threedpoints_1578775132__5'; [37.826058603586496;15.172.212.044.800.300; 6.763300441034212]]; ['threedpoints_1578775132__6'; [37.49259793745795;16.958.571.035.561.100; 6.718481376827275]]; ['threedpoints_1578775062__6'; [37.135687698005285;16.107.524.920.271.300; 7.8771715956874395]]; ['threedpoints_1578774927__6'; [43.22353775996277;25.999.056.650.804.700; 6.299449360073829]]; ['threedpoints_1578775132__6'; [42.40665616664732;2.435.263.237.437.760; 6.4352603996800255]]; ['threedpoints_1578775198__6'; [36.99070852986168;16.566.218.672.626.100; 7.627049393421803]]]
11/01/2020 23:40;108;2020-01-11_20_43_29;INFO;7;threedpoints_1578775198__7;3.666.266.413.434.120;threedpoints_1578775132__7;13.062.551.962.956.600;threedpoints_1578775132__7;61.862.928.301.470.000;0.41608242223312075;[['threedpoints_1578775132__1'; [38.81583853825352;144.726.372.846.754; 6.485660770903882]]; ['threedpoints_1578775062__2'; [37.84652636816214;1.364.102.277.108.030; 7.353899612937114]]; ['threedpoints_1578774927__3'; [38.25372391127126;14.188.275.736.317.300; 7.181153189033057]]; ['threedpoints_1578775198__3'; [43.213342029338904;26.031.248.928.588.000; 6.29821433979201]]; ['threedpoints_1578775132__6'; [37.49259793745795;16.958.571.035.561.100; 6.718481376827275]]; ['threedpoints_1578775062__6'; [37.135687698005285;16.107.524.920.271.300; 7.8771715956874395]]; ['threedpoints_1578775132__6'; [42.40665616664732;2.435.263.237.437.760; 6.4352603996800255]]; ['threedpoints_1578775198__7'; [43.77617608027557;20.776.089.482.288.400; 6.374383798367293]]; ['threedpoints_1578775132__7'; [37.257135895641596;13.062.551.962.956.600; 8.072165909647918]]; ['threedpoints_1578775198__7'; [36.66266413434126;14.876.804.272.899.200; 8.066814256619955]]; ['threedpoints_1578775132__7'; [37.720988664799506;1.545.987.896.478.300; 7.13012273477361]]; ['threedpoints_1578775132__7'; [44.80424516892463;26.571.733.605.707.100; 6.1862928301470035]]]
11/01/2020 23:58;904;2020-01-11_20_43_29;INFO;8;threedpoints_1578775198__7;3.666.266.413.434.120;threedpoints_1578775132__7;13.062.551.962.956.600;threedpoints_1578775132__7;61.862.928.301.470.000;0.033441559433324386;[['threedpoints_1578775132__1'; [38.81583853825352;144.726.372.846.754; 6.485660770903882]]; ['threedpoints_1578775062__2'; [37.84652636816214;1.364.102.277.108.030; 7.353899612937114]]; ['threedpoints_1578774927__3'; [38.25372391127126;14.188.275.736.317.300; 7.181153189033057]]; ['threedpoints_1578775198__3'; [43.213342029338904;26.031.248.928.588.000; 6.29821433979201]]; ['threedpoints_1578775132__6'; [42.40665616664732;2.435.263.237.437.760; 6.4352603996800255]]; ['threedpoints_1578775198__7'; [43.77617608027557;20.776.089.482.288.400; 6.374383798367293]]; ['threedpoints_1578775132__7'; [37.257135895641596;13.062.551.962.956.600; 8.072165909647918]]; ['threedpoints_1578775198__7'; [36.66266413434126;14.876.804.272.899.200; 8.066814256619955]]; ['threedpoints_1578775132__7'; [44.80424516892463;26.571.733.605.707.100; 6.1862928301470035]]; ['threedpoints_1578775062__8'; [41.64562922108158;24.885.400.130.728.900; 6.363425116001528]]; ['threedpoints_1578775198__8'; [37.257135895641596;13.062.551.962.956.600; 8.072165909647918]]; ['threedpoints_1578775132__8'; [40.271694867568016;1.804.332.378.722.520; 6.463727311026802]]]
12/01/2020 00:17;677;2020-01-11_20_43_29;INFO;9;threedpoints_1578774927__9;3.655.444.533.128.930;threedpoints_1578775132__7;13.062.551.962.956.600;threedpoints_1578775132__9;6.137.066.945.228.510;-0.03917092786167942;[['threedpoints_1578775132__1'; [38.81583853825352;144.726.372.846.754; 6.485660770903882]]; ['threedpoints_1578774927__3'; [38.25372391127126;14.188.275.736.317.300; 7.181153189033057]]; ['threedpoints_1578775198__3'; [43.213342029338904;26.031.248.928.588.000; 6.29821433979201]]; ['threedpoints_1578775132__6'; [42.40665616664732;2.435.263.237.437.760; 6.4352603996800255]]; ['threedpoints_1578775198__7'; [43.77617608027557;20.776.089.482.288.400; 6.374383798367293]]; ['threedpoints_1578775132__7'; [37.257135895641596;13.062.551.962.956.600; 8.072165909647918]]; ['threedpoints_1578775062__8'; [41.64562922108158;24.885.400.130.728.900; 6.363425116001528]]; ['threedpoints_1578775198__8'; [37.257135895641596;13.062.551.962.956.600; 8.072165909647918]]; ['threedpoints_1578775132__8'; [40.271694867568016;1.804.332.378.722.520; 6.463727311026802]]; ['threedpoints_1578775132__9'; [42.692972564905205;26.458.871.359.130.900; 6.137066945228519]]; ['threedpoints_1578774927__9'; [36.55444533128937;14.049.071.916.211.000; 7.446418935478794]]; ['threedpoints_1578775198__9'; [37.41732406977138;1.670.674.814.519.140; 7.137154212718781]]]
12/01/2020 00:36;938;2020-01-11_20_43_29;INFO;10;threedpoints_1578775198__10;3.642.646.066.506.000;threedpoints_1578775132__7;13.062.551.962.956.600;threedpoints_1578775198__10;60.286.919.627.688.200;0.8325703399213396;[['threedpoints_1578775132__1'; [38.81583853825352;144.726.372.846.754; 6.485660770903882]]; ['threedpoints_1578774927__3'; [38.25372391127126;14.188.275.736.317.300; 7.181153189033057]]; ['threedpoints_1578775132__7'; [37.257135895641596;13.062.551.962.956.600; 8.072165909647918]]; ['threedpoints_1578775198__8'; [37.257135895641596;13.062.551.962.956.600; 8.072165909647918]]; ['threedpoints_1578774927__9'; [36.55444533128937;14.049.071.916.211.000; 7.446418935478794]]; ['threedpoints_1578775198__10'; [37.254464818761136;13.096.298.519.544.800; 8.089842107264504]]; ['threedpoints_1578775132__10'; [36.63547522045993;1.393.355.726.575.410; 7.423816129710868]]; ['threedpoints_1578775198__10'; [36.42646066506004;16.629.925.089.881.900; 6.089756565073815]]; ['threedpoints_1578775198__10'; [42.56473704242778;23.702.455.885.232.800; 6.0286919627688285]]];;;;;;;;;;;;
12/01/2020 00:56;517;2020-01-11_20_43_29;INFO;11;threedpoints_1578775132__11;3.624.438.037.303.230;threedpoints_1578775132__7;13.062.551.962.956.600;threedpoints_1578775198__10;60.286.919.627.688.200;-0.13521923931352653;[['threedpoints_1578775132__1'; [38.81583853825352;144.726.372.846.754; 6.485660770903882]]; ['threedpoints_1578775132__7'; [37.257135895641596;13.062.551.962.956.600; 8.072165909647918]]; ['threedpoints_1578774927__9'; [36.55444533128937;14.049.071.916.211.000; 7.446418935478794]]; ['threedpoints_1578775198__10'; [37.254464818761136;13.096.298.519.544.800; 8.089842107264504]]; ['threedpoints_1578775132__10'; [36.63547522045993;1.393.355.726.575.410; 7.423816129710868]]; ['threedpoints_1578775198__10'; [36.42646066506004;16.629.925.089.881.900; 6.089756565073815]]; ['threedpoints_1578775198__10'; [42.56473704242778;23.702.455.885.232.800; 6.0286919627688285]]; ['threedpoints_1578775132__11'; [37.130496203574474;13.631.100.694.015.200; 6.785560899048932]]; ['threedpoints_1578775198__11'; [37.89610466101451;1.333.964.221.669.850; 6.62309432391952]]; ['threedpoints_1578774927__11'; [37.257135895641596;13.062.551.962.956.600; 8.072165909647918]]; ['threedpoints_1578775198__11'; [36.55444533128937;14.049.071.916.211.000; 7.446418935478794]]; ['threedpoints_1578775132__11'; [36.24438037303236;17.092.237.687.712.300; 7.313200774034685]]]
